Date,Time,Mainnet Transactions,Mainnet TPS,Testnet Transactions,Testnet TPS
2023-03-09,13:40:05,5039382011,748,71020754,4
2023-03-09,13:45:05,5039600586,733,71021808,4
2023-03-09,13:50:04,5039817469,819,71023077,6
2023-03-09,13:55:04,5040035423,750,71024376,4
2023-03-09,14:00:04,5040256584,765,71025561,2
2023-03-09,14:05:05,5040474012,754,71026668,5
2023-03-09,14:10:05,5040693078,742,71027692,2
2023-03-09,14:15:05,5040916024,747,71028935,5
2023-03-09,14:20:05,5041132228,622,71030329,5
2023-03-09,14:25:05,5041351840,742,71031714,5
2023-03-09,14:30:05,5041573777,731,71033162,4
2023-03-09,14:35:05,5041788401,753,71034580,3
2023-03-09,14:40:05,5042005103,715,71035947,5
2023-03-09,14:45:05,5042226584,732,71037080,3
2023-03-09,14:50:05,5042443867,563,71037965,4
2023-03-09,14:55:05,5042661985,749,71038851,2
2023-03-09,15:00:05,5042883635,909,71039666,3
2023-03-09,15:05:05,5043108582,780,71040548,3
2023-03-09,15:10:05,5043330861,721,71041387,3
2023-03-09,15:15:05,5043556759,802,71042423,3
2023-03-09,15:20:05,5043782167,796,71043511,4
2023-03-09,15:25:04,5044004379,756,71044460,3
2023-03-09,15:30:04,5044225882,777,71045629,4
2023-03-09,15:35:05,5044443729,771,71046585,4
2023-03-09,15:40:05,5044665138,700,71047545,3
2023-03-09,15:45:06,5044888101,592,71048422,2
2023-03-09,15:50:05,5045106976,735,71049202,3
2023-03-09,15:55:05,5045328088,747,71050082,2
2023-03-09,16:00:05,5045549836,707,71050994,3
2023-03-09,16:05:04,5045764164,729,71051902,1
2023-03-09,16:15:04,5046208823,753,71053207,3
2023-03-09,16:20:04,5046426978,746,71054135,3
2023-03-09,16:25:04,5046647074,749,71054847,1
2023-03-09,16:30:05,5046865102,0,71055679,3
2023-03-09,16:35:05,5047086512,768,71056448,1
2023-03-09,16:40:05,5047306039,754,71057026,2
2023-03-09,16:45:05,5047527619,589,71057607,1
2023-03-09,16:50:05,5047743421,752,71057902,1
2023-03-09,16:55:05,5047961744,726,71058305,1
2023-03-09,17:00:05,5048181751,590,71058642,1
2023-03-09,17:05:05,5048398707,712,71059098,1
2023-03-09,17:10:05,5048612729,728,71059442,1
2023-03-09,17:15:05,5048835356,698,71059831,1
2023-03-09,17:20:05,5049054488,920,71060215,1
2023-03-09,17:25:05,5049269796,761,71060612,1
2023-03-09,17:30:05,5049490752,857,71060940,1
2023-03-09,17:35:05,5049706156,727,71061344,1
2023-03-09,17:40:05,5049927966,729,71061794,1
2023-03-09,17:45:05,5050146634,729,71062298,1
2023-03-09,17:50:05,5050363534,771,71062602,1
2023-03-09,17:55:05,5050577842,847,71063030,1
2023-03-09,18:00:05,5050799491,734,71063459,1
2023-03-09,18:05:05,5051013995,739,71063954,2
2023-03-09,18:10:10,5051242043,424,71064338,1
2023-03-09,18:15:05,5051454248,113,71064779,1
2023-03-09,18:20:05,5051671559,567,71065131,3
2023-03-09,18:25:05,5051891064,587,71065921,1
2023-03-09,18:30:05,5052113037,603,71066362,1
2023-03-09,18:35:05,5052332085,717,71066887,1
2023-03-09,18:40:05,5052547587,191,71067273,2
2023-03-09,18:45:05,5052767224,754,71067677,1
2023-03-09,18:50:05,5052985322,690,71067997,1
2023-03-09,18:55:05,5053206020,691,71068754,3
2023-03-09,19:00:06,5053425740,717,71069650,2
2023-03-09,19:05:05,5053645997,715,71070481,4
2023-03-09,19:10:05,5053864534,751,71071256,3
2023-03-09,19:15:06,5054084470,726,71072097,4
2023-03-09,19:20:05,5054291949,1623,71072867,2
2023-03-09,19:25:05,5054519650,583,71073698,2
2023-03-09,19:30:05,5054737810,721,71074415,4
2023-03-09,19:35:05,5054956880,764,71075264,2
2023-03-09,19:40:05,5055177137,661,71076033,4
2023-03-09,19:45:05,5055393223,714,71076947,3
2023-03-09,19:50:05,5055611327,658,71077804,3
2023-03-09,19:55:05,5055828371,725,71078632,2
2023-03-09,20:00:05,5056049760,711,71079404,2
2023-03-09,20:05:05,5056251431,2108,71080261,3
2023-03-09,20:10:05,5056481423,780,71081043,2
2023-03-09,20:15:05,5056684597,1,71081874,2
2023-03-09,20:20:04,5056685673,0,71082663,3
2023-03-09,20:25:06,5056685673,0,71083470,3
2023-03-09,20:30:11,5056685673,0,71084248,3
2023-03-09,20:35:05,5056685673,0,71085079,2
2023-03-09,20:40:05,5056685673,0,71085872,3
2023-03-09,20:45:05,5056685673,0,71086749,2
2023-03-09,20:50:05,5056685673,0,71087514,3
2023-03-09,20:55:04,5056685673,0,71088347,2
2023-03-09,21:00:04,5056685673,0,71089089,3
2023-03-09,21:05:04,5056685673,0,71089908,3
2023-03-09,21:10:04,5056685673,0,71090697,2
2023-03-09,21:15:04,5056685673,0,71091508,2
2023-03-09,21:20:04,5056685673,0,71092336,3
2023-03-09,21:25:04,5056685673,0,71093327,7
2023-03-09,21:30:05,5056685673,0,71094166,3
2023-03-09,21:35:05,5056685673,0,71094992,4
2023-03-09,21:40:05,5056685673,0,71095812,2
2023-03-09,21:45:05,5056685673,0,71096692,4
2023-03-09,21:50:04,5056685673,0,71097552,3
2023-03-09,21:55:06,5056685673,0,71098379,2
2023-03-09,22:00:05,5056685673,0,71099252,3
2023-03-09,22:05:05,5056685673,0,71100034,1
2023-03-09,22:10:05,5056685673,0,71100323,2
2023-03-09,22:15:10,5056685673,0,71100666,1
2023-03-09,22:20:05,5056685673,0,71100993,1
2023-03-09,22:25:05,5056685673,0,71101338,1
2023-03-09,22:30:05,5056685673,0,71101686,1
2023-03-09,22:35:05,5056685673,0,71102055,1
2023-03-09,22:40:05,5056685673,0,71102373,1
2023-03-09,22:45:04,5056685673,0,71102772,1
2023-03-09,22:50:04,5056685674,0,71103047,0
2023-03-09,22:55:04,5056685674,0,71103397,1
2023-03-09,23:00:04,5056685674,0,71103695,0
2023-03-09,23:05:04,5056685674,0,71104076,1
2023-03-09,23:10:04,5056685674,0,71104385,0
2023-03-09,23:15:04,5056685674,0,71104761,1
2023-03-09,23:20:04,5056685674,0,71105098,1
2023-03-09,23:25:04,5056685674,0,71105449,2
2023-03-09,23:30:04,5056685674,0,71105837,1
2023-03-09,23:35:04,5056685674,0,71106224,0
2023-03-09,23:40:04,5056685674,0,71106511,1
2023-03-09,23:45:05,5056685674,0,71106911,1
2023-03-09,23:50:04,5056685674,0,71107189,1
2023-03-09,23:55:05,5056685674,0,71107547,1
2023-03-10,00:00:05,5056685674,0,71107854,1
2023-03-10,00:05:05,5056685674,0,71108202,1
2023-03-10,00:10:05,5056685674,0,71108591,4
2023-03-10,00:15:05,5056685674,0,71109035,1
2023-03-10,00:20:05,5056685674,0,71109314,1
2023-03-10,00:25:06,5056685674,0,71109630,1
2023-03-10,00:30:04,5056685674,0,71109968,1
2023-03-10,00:35:04,5056685674,0,71110303,1
2023-03-10,00:40:04,5056685674,0,71110585,1
2023-03-10,00:45:05,5056685674,0,71110911,1
2023-03-10,00:50:10,5056685674,0,71111223,1
2023-03-10,00:55:05,5056685674,0,71111587,1
2023-03-10,01:00:05,5056685674,0,71111923,1
2023-03-10,01:05:05,5056685674,0,71112287,1
2023-03-10,01:10:05,5056685674,0,71112616,1
2023-03-10,01:15:05,5056685674,0,71112974,1
2023-03-10,01:20:05,5056685674,0,71113268,2
2023-03-10,01:25:04,5056685674,0,71113608,1
2023-03-10,01:30:04,5056685674,0,71113905,2
2023-03-10,01:35:05,5056685674,0,71114614,3
2023-03-10,01:40:04,5056685674,0,71115122,1
2023-03-10,01:45:04,5056685674,0,71115751,3
2023-03-10,01:50:04,5056685674,0,71116406,2
2023-03-10,01:55:04,5056685674,0,71117139,2
